#PIXIE Baseline Mission Sensitivity for Spectral Distortions
#Noise curves are for integrated sensitivity with:
#     Total time in distortion mode within clean sky =  7.7 months
#     Clean sky fraction f_sky = 0.7
# 
#Center Freq   Sensitivity  
#  (GHz)        (Jy/sr)
4918.2         2.32E+02
4937.4         2.38E+02
4956.7         2.44E+02
4975.9         2.49E+02
4995.1         2.54E+02
5014.3         2.58E+02
5033.5         2.63E+02
5052.7         2.67E+02
5071.9         2.71E+02
5091.1         2.76E+02
5110.4         2.82E+02
5129.6         2.88E+02
5148.8         2.95E+02
5168.0         3.03E+02
5187.2         3.11E+02
5206.4         3.19E+02
5225.6         3.27E+02
5244.8         3.34E+02
5264.1         3.40E+02
5283.3         3.46E+02
5302.5         3.52E+02
5321.7         3.58E+02
5340.9         3.63E+02
5360.1         3.70E+02
5379.3         3.77E+02
5398.5         3.85E+02
5417.7         3.95E+02
5437.0         4.05E+02
5456.2         4.15E+02
5475.4         4.26E+02
5494.6         4.36E+02
5513.8         4.46E+02
5533.0         4.55E+02
5552.2         4.63E+02
5571.4         4.71E+02
5590.7         4.78E+02
5609.9         4.86E+02
5629.1         4.94E+02
5648.3         5.04E+02
5667.5         5.14E+02
5686.7         5.26E+02
5705.9         5.39E+02
5725.1         5.53E+02
5744.3         5.65E+02
5763.6         5.79E+02
5782.8         5.93E+02
5802.0         6.05E+02
5821.2         6.17E+02
5840.4         6.27E+02
5859.6         6.37E+02
5878.8         6.47E+02
5898.0         6.58E+02
5917.3         6.70E+02
5936.5         6.83E+02
5955.7         6.98E+02
5974.9         7.14E+02
5994.1         7.65E+02
